y_U1,y_U2,y_U3,y_U4,y_U5,y_U6,y_U7,y_U8,y_L1,y_L2,y_L3,y_L4,y_L5,y_L6,y_L7,y_L8,alpha,Mach,Cl,Cm
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,0.5,0.75,0.056483,0.024592
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,1,0.75,0.107469,0.048541
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,1.5,0.75,0.158949,0.070397
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,2,0.75,0.210621,0.089311
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,2.5,0.75,0.262412,0.105291
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,3,0.75,0.313167,0.118146
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,3.5,0.75,0.362191,0.128346
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,4,0.75,0.409599,0.13618
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,4.5,0.75,0.455286,0.142538
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,5,0.75,0.496498,0.147638
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,5.5,0.75,0.535147,0.151873
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,6,0.75,0.570967,0.15561
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,6.5,0.75,0.604401,0.15894
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,7,0.75,0.634962,0.162164
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,7.5,0.75,0.662256,0.165645
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,8,0.75,0.686868,0.169461
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,8.5,0.75,0.709347,0.173324
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,9,0.75,0.729646,0.177506
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,9.5,0.75,0.748175,0.181843
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,10,0.75,0.765008,0.186481
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,10.5,0.75,0.780437,0.191191
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,11,0.75,0.794304,0.196181
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,11.5,0.75,0.806412,0.201431
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,12,0.75,0.815464,0.207213
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,12.5,0.75,0.82481,0.212629
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,13,0.75,0.830924,0.218668
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,13.5,0.75,0.83672,0.22449
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,14,0.75,0.841547,0.230231
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,14.5,0.75,0.844755,0.235975
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,-2,0.8,-0.251054,-0.048076
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,-1.5,0.8,-0.190492,-0.043613
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,-1,0.8,-0.126241,-0.033446
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,-0.5,0.8,-0.058451,-0.018278
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,0,0.8,0.011515,-0.000464
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,0.5,0.8,0.081796,0.017271
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,1,0.8,0.152943,0.032675
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,1.5,0.8,0.223023,0.043154
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,2,0.8,0.290472,0.047786
0.0485,0.0584,0.0598,0.0562,0.0493,0.0401,0.0291,0.0164,-0.0485,-0.0584,-0.0598,-0.0562,-0.0493,-0.0401,-0.0291,-0.0164,2.5,0.8,0.352794,0.048462
